Beta_I,Beta_E,N,P_IFR,T_d,T_r,T_c
7.059050861543361144e-01,2.510905418344328011e-01,8.346603167485151789e+04,8.624687949159660916e-02,2.023904166833877483e+01,1.154975795999485655e+01,5.994895693946253878e+00
6.358250270729435272e-01,3.037350214015648309e-01,8.320609524978281115e+04,9.306477249559719223e-02,2.023671293986086539e+01,1.042401050463841727e+01,5.976519214357203680e+00
7.449357465679734558e-01,2.440347372151547845e-01,8.331673647139144305e+04,1.017756376997599049e-01,2.022101751486367860e+01,9.320718343037142972e+00,5.922469459121010082e+00
6.804262795278466225e-01,2.661223958817131030e-01,8.345080050155227946e+04,8.619487206007492297e-02,2.023637832902903710e+01,1.147462695661539200e+01,5.995577617869185083e+00
6.523346707165895708e-01,2.928262859661370787e-01,8.332336711075493076e+04,9.478852209290276887e-02,2.022550337475551174e+01,1.023387812846258882e+01,5.951538536748533836e+00
5.993771999504299286e-01,3.175947257429236892e-01,8.329877900149344350e+04,8.326800344653617625e-02,2.025972990385269767e+01,1.152051188794089320e+01,5.997632290060931126e+00
5.816097562929766207e-01,3.252142871138374303e-01,8.332872669158372446e+04,8.813921720708767227e-02,2.025763136686629906e+01,1.140631223741273459e+01,5.944475803195021335e+00
5.256846361627793840e-01,3.510027517673917075e-01,8.331225997892225860e+04,7.572564648886564997e-02,2.024038573552873999e+01,1.347771968894368833e+01,5.977714063168615866e+00
5.466923954331315283e-01,3.460413113516553896e-01,8.319553963573511282e+04,8.384977148403589819e-02,2.019869428202316186e+01,1.188063728972035626e+01,5.966555694885864014e+00
4.956093015151132875e-01,3.678854540928712114e-01,8.333684010538767325e+04,7.253995500910420668e-02,2.024384433698831032e+01,1.403305939978540984e+01,5.987802666437246124e+00
5.091309806024445495e-01,3.696330710253464269e-01,8.335090454866454820e+04,8.507702072658017423e-02,2.022614561985895776e+01,1.164188575967540729e+01,6.004355449915611764e+00
9.433912115499102358e-01,2.940870475996191225e-01,8.330104449207251309e+04,2.708544376056953862e-01,2.019999999999999929e+01,2.794713977934955906e+00,5.929999999999999716e+00
9.998719605868915394e-01,2.507588442288785635e-01,8.378938592793812859e+04,2.331718014953539087e-01,2.024740555926593188e+01,3.443362233196279654e+00,5.939807612292485217e+00
9.005712382864491383e-01,2.812694390299186331e-01,8.349081784464577504e+04,2.982076172649628099e-01,2.023948459932030630e+01,2.959067632308518547e+00,5.960395139589291347e+00
8.032511778063129437e-01,2.620007127793937407e-01,8.385305321221565828e+04,1.772300032121178204e-01,2.020050660490178274e+01,4.825503774165016857e+00,5.942876623788515111e+00
9.124341911167952457e-01,3.614653767898231007e-01,8.464463482553526410e+04,4.273251256543817989e-01,2.022936486030920733e+01,1.401495859873661542e+00,5.944192197154725577e+00
9.231269282989502667e-01,2.375545994533067584e-01,8.351642437663045712e+04,2.206488082939517259e-01,2.022768458250294188e+01,3.883120145184399519e+00,5.942199651239496561e+00
8.574291642192651830e-01,2.247492713950207388e-01,8.324681696861561795e+04,1.407380077906301152e-01,2.023604101875771732e+01,5.883893467145958844e+00,5.933376880876027215e+00
9.376685843058866210e-01,2.193666603765201395e-01,8.364487838818720775e+04,1.781070850870677680e-01,2.022504071920731050e+01,4.771751891376882604e+00,5.954549466419752690e+00
8.960812942041984641e-01,2.435329474858409782e-01,8.381036436346157279e+04,2.051117386815569377e-01,2.023738421505348484e+01,4.227868256805616731e+00,5.947873603344091542e+00
7.371629883635465452e-01,3.345235374350114532e-01,8.377769179668089782e+04,2.206565556614333845e-01,2.023464509065406958e+01,3.719220762520804691e+00,5.946075903707576771e+00
7.485016895021807670e-01,3.040780211554759971e-01,8.371281324325215246e+04,1.938176795139008590e-01,2.021113444250410041e+01,4.270308976736338025e+00,5.927890765062545420e+00
7.079317985068398489e-01,2.986193292798776655e-01,8.323508928306095186e+04,1.355819854851884332e-01,2.023844376720618143e+01,6.409848791299647353e+00,5.974888489512733436e+00
6.208965696294862502e-01,3.564801204539982948e-01,8.359799410131043987e+04,1.698418461953416225e-01,2.025278554466638070e+01,5.222745174325153172e+00,5.956119756137862709e+00
5.936520640804934246e-01,3.555044576251892297e-01,8.354095479505164258e+04,1.364096483540354343e-01,2.021291741033718736e+01,6.702573970982390605e+00,5.938403228348222207e+00
5.641579963578768897e-01,3.712793719855279062e-01,8.345628025371457625e+04,1.417558531878255756e-01,2.020580538617968003e+01,6.442805722931550960e+00,5.948607993700889551e+00
